catalog_id,catalog,container_id,container,type_id,content_type,event_part_type
4742,congress_usa_san-francisco_2005,4698,AlAmericanTour_20-06-06,4,LECTURE,
4742,congress_usa_san-francisco_2005,4710,2005-03-21_xx_heb_rav_artzaa_san-francisco,4,LECTURE,
4742,congress_usa_san-francisco_2005,4991,Sicha_NashimUSA_18-03-05,4,LECTURE,
4742,congress_usa_san-francisco_2005,5196,ScienceMeetsKabbalah_MarriotHotel_22-03-05_2,4,LECTURE,
4742,congress_usa_san-francisco_2005,5197,ScienceMeetsKabbalah_MarriotHotel_22-03-05_3,4,LECTURE,
4742,congress_usa_san-francisco_2005,5198,ScienceMeetsKabbalah_MarriotHotel_23-03-05_2,4,LECTURE,
4742,congress_usa_san-francisco_2005,5208,ScienceMeetsKabbalah_JCC_22-03-05_2,4,LECTURE,
4742,congress_usa_san-francisco_2005,5210,2005-03-23_xx_heb_rav_artzaa_san-francisco_marriot-hotel-tiller,4,LECTURE,
4742,congress_usa_san-francisco_2005,5211,2005-03-23_xx_heb_rav_artzaa_san-francisco_marriot-hotel-satinover,4,LECTURE,
4742,congress_usa_san-francisco_2005,5212,2005-03-23_xx_heb_rav_artzaa_san-francisco_marriot-hotel-wolf,4,LECTURE,
8099,congress_usa_new-jersey_2016,63540,2016-05-01_rav_program_sihot_kenes-america,1,VIDEO_PROGRAM_CHAPTER,
8099,congress_usa_new-jersey_2016,63769,2016-05-20_norav_program_congress_yeshivat-haverim-0,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63770,2016-05-20_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63773,2016-05-20_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63775,2016-05-20_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63779,2016-05-20_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63781,2016-05-20_norav_program_congress_yeshivat-haverim-5,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63786,2016-05-20_norav_program_congress_yeshivat-haverim-6,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63787,2016-05-20_norav_program_congress_yeshivat-haverim-7,1,FRIENDS_GATHERING,
8099,congress_usa_new-jersey_2016,63817,2016-05-20_norav_program_congress_yeshivat-haverim-8,1,FRIENDS_GATHERING,
3997,congress_usa_buffalo_2009,20605,2009-10-16_xx_heb_rav_lecture_buffalo_congress-introduction-talk,5,FULL_LESSON,
3997,congress_usa_buffalo_2009,20612,2009-10-18_xx_mlt_norav_misc_buffalo_congress-yeshivat-haverim-2,4,FRIENDS_GATHERING,
3997,congress_usa_buffalo_2009,20613,2009-10-16_xx_mlt_norav_misc_buffalo_congress-yeshivat-haverim-1,4,FRIENDS_GATHERING,
3997,congress_usa_buffalo_2009,20614,2009-10-16_xx_mlt_norav_misc_buffalo_congress-cultural-program-1,1,EVENT_PART,EREV_TARBUT
3997,congress_usa_buffalo_2009,20615,2009-10-16_xx_heb_rav_misc_buffalo_opening-ceremony,4,EVENT_PART,TEKES_PTIHA
3997,congress_usa_buffalo_2009,20619,2009-10-18_xx_mlt_norav_misc_buffalo_congress-cultural-program-2,1,EVENT_PART,EREV_TARBUT
3997,congress_usa_buffalo_2009,20630,2009-10-18_xx_mlt_norav_misc_buffalo_congress-yeshivat-haverim-3,4,FRIENDS_GATHERING,
