catalog.id,catalog.parent_id,containers.count,containers.ids
3841,3672,141,"{16164,16165,16274,16275,16515,16516,16672,16673,16674,16690,16691,16866,16867,16907,16960,17271,17272,17392,17845,18224,18289,18686,18928,19045,19088,19090,19092,19093,19094,19118,19119,19120,19525,19526,19754,19838,19914,20159,20255,20278,20406,20412,20413,25810,26963,26964,27125,27230,27327,27442,27579,27792,27902,27982,28078,28163,28235,28373,28472,28559,28621,28745,28832,28973,29021,29036,29037,29074,29103,29109,29127,29152,29170,29188,29200,29230,29243,29265,29279,29327,29357,29394,29463,29464,29476,29542,29591,29593,29655,29664,29700,29732,29829,29830,29915,29991,30066,30094,30213,30283,30330,30375,30436,30459,30492,30552,30584,30617,30717,30719,30767,30803,30850,30908,30974,31019,31082,31171,31218,31329,31398,31493,31537,31586,31651,31740,31756,31837,31934,31996,32112,32162,32292,32374,32627,32717,32747,32929,33032,33109,33174}"
3842,3672,9,"{16181,16182,19697,19698,19728,20370,20544,20545,27152}"
3857,3672,4,"{16501,16502,16510,16602}"
3859,3672,25,"{16711,16712,16737,16908,16961,17175,17176,17459,17460,17461,17650,17752,17753,18272,18455,18667,18725,18766,18997,19322,19336,19429,19772,19837,19994}"
3871,3672,18,"{16975,17012,17013,17014,17363,17472,17641,17642,17800,17912,18004,18225,18457,19060,19335,19477,19856,22705}"
3879,3672,5,"{17366,17707,17855,18393,18954}"
3880,3672,13,"{17365,17386,17387,17844,17909,17988,18034,18035,18314,18854,18939,19134,19167}"
3881,3672,22,"{17384,17385,17388,17405,17660,17661,17662,17663,17801,17905,17989,18036,18135,18136,18137,18302,18315,18507,18577,18664,18665,27330}"
3883,3672,10,"{16104,16621,16622,17391,17497,17502,17572,17786,17787,19691}"
3884,3672,13,"{15694,15938,15939,15940,15941,16207,16208,16632,16695,16990,16991,16992,52721}"
3885,3672,31,"{16939,16940,16941,17323,17438,17439,17440,17471,17617,17648,17724,17750,18042,18043,18395,18462,18541,18558,18559,18587,18628,18629,18707,18951,19085,19112,19165,19325,19403,19552,19613}"
3887,3672,51,"{17269,17449,17458,17748,17841,17998,18040,18041,18388,18412,18763,18855,18985,18986,18998,18999,19000,19001,19042,19044,19059,19111,19324,19411,19529,19694,19695,19727,19857,19924,19981,20057,20126,20197,20207,20409,20415,20484,20659,20805,21477,21511,29232,29233,29234,29267,29399,29454,29455,29535,29536}"
