catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8099,congress_usa_new-jersey_2016,63692,2016-05-13_rav_lesson_achana-le-kenes_1,4,24130,11,10250
8099,congress_usa_new-jersey_2016,63774,2016-05-20_rav_lesson_congress_n2,4,24173,11,10261
8099,congress_usa_new-jersey_2016,63697,2016-05-13_rav_lesson_achana-le-kenes_3,4,24126,11,10250
8099,congress_usa_new-jersey_2016,63776,2016-05-20_rav_lesson_congress_n3,4,24166,11,10261
8099,congress_usa_new-jersey_2016,63698,2016-05-13_rav_lesson_achana-le-kenes_4,4,24124,11,10250
8099,congress_usa_new-jersey_2016,63699,2016-05-13_rav_lesson_sheelot-al-kenes-amerika,4,24122,11,10250
8099,congress_usa_new-jersey_2016,63780,2016-05-20_rav_lesson_congress_n4,4,24172,11,10261
8099,congress_usa_new-jersey_2016,63782,2016-05-20_rav_lesson_congress_n5,4,24170,11,10261
8099,congress_usa_new-jersey_2016,63783,2016-05-20_rav_lesson_congress_n6,4,24167,11,10261
8099,congress_usa_new-jersey_2016,63814,2016-05-20_rav_lesson_congress_n7,4,24171,11,10261
8048,congress_czech_2016,65434,2016-09-05_rav_lesson_achana-le-kenes-3,4,24569,11,10342
8048,congress_czech_2016,65367,2016-09-01_rav_lesson_achana-le-kenes-shiur-1,4,24550,11,10339
8048,congress_czech_2016,65406,2016-09-02_rav_lesson_achana-le-kenes-shiur-2,4,24559,11,10340
8048,congress_czech_2016,65426,2016-09-04_rav_lesson_achana-le-kenes-2,4,24566,11,10341
8048,congress_czech_2016,65450,2016-09-07_rav_lesson_achana-le-kenes-5,4,24573,11,10344
8048,congress_czech_2016,65480,2016-09-09_rav_lesson_congress_n0,4,24590,11,10349
8048,congress_czech_2016,65482,2016-09-09_rav_lesson_congress_n1,4,24589,11,10349
8048,congress_czech_2016,65419,2016-09-02_rav_lesson_achana-le-kenes,4,24563,11,10340
8048,congress_czech_2016,65487,2016-09-09_rav_lesson_congress_n2,4,24596,11,10349
8048,congress_czech_2016,65421,2016-09-02_rav_lesson_achana-le-kenes-1,4,24562,11,10340
8048,congress_czech_2016,64999,2016-08-05_rav_lesson_sheelot-al-hakenes,4,24417,11,10315
8048,congress_czech_2016,65495,2016-09-09_rav_lesson_congress_n3,4,24598,11,10349
8048,congress_czech_2016,65499,2016-09-09_rav_lesson_congress_n4,4,24591,11,10349
8048,congress_czech_2016,65502,2016-09-09_rav_lesson_congress_n5,4,24597,11,10349
8036,congress_austria_2005,6511,2005-12-09_xx_heb_rav_shiur_viena_congress_shiur-2,4,7702,11,3325
